,Cluster,RA,DEC,Rsun,<RV>,mualpha,mu_delta,l,b,U,V,W,x,y,z
0,NGC_288,13.1885,-26.582611,8.99,-44.45,4.157,-5.705,178.76150778332493,-89.50205990596909,-3.964539344131733,-53.13973942782192,51.77613656066644,-8.256110104945098,0.0016886728383895089,-8.968860503038451
1,NGC_362,15.809416,-70.848778,8.83,223.12,6.692,-2.533,301.473750745895,-45.979318563674326,-93.07228580492351,-103.74940489848959,-66.25497024250585,-4.974280368272115,-5.233375548660928,-6.328755959904541
2,NGC_1261,48.067543,-55.216225,16.4,71.34,1.599,-2.064,270.6492333603339,-51.83747455239937,78.9265199694319,52.94627913677408,69.84519015742003,-8.063177521437728,-10.132815479715012,-12.873883642977235
3,Pal_2,71.52462,31.3815,26.17,-135.97,1.229,-1.533,170.63021638557103,-9.164183832777853,104.30710997214291,-15.113186125807857,26.108603868819543,-33.669267156281535,4.20624121131559,-4.147141175126279
4,NGC_1851,78.52816,-40.046555,11.95,321.4,2.138,-0.67,244.6836632982458,-34.796864768760706,-81.05212499347918,-73.61196866676326,-81.81109609692264,-12.374237565997882,-8.870661988465866,-6.798690169807049
5,NGC_1904,81.045837,-24.524416,13.08,205.76,2.47,-1.599,227.4133530584771,-29.170517296799694,-43.44161450647061,-22.234750235238693,6.7255370862439605,-15.906710546125652,-8.408841971570418,-6.354528226167017
6,NGC_2298,102.247543,-36.005306,9.83,147.15,3.312,-2.183,245.7298764938322,-15.764185649027675,79.93219264502255,29.660133536086306,68.21138613798138,-12.066542134709001,-8.624153602232168,-2.6498019380841282
7,Ko_2,,,,,,,,,,,,,,
8,NGC_2808,138.012909,-64.863495,10.06,103.57,1.004,0.269,282.2457372606384,-10.962987821535236,56.529483429150375,144.52567773221787,30.866648911118823,-6.083164937863678,-9.651688408297012,-1.8923588882237128
9,NGC_3201,154.403427,-46.412476,4.74,493.65,8.35,-1.976,277.2832221058985,8.93027814638204,250.43475547025383,-203.06058273390076,151.33292230512774,-7.584374784336041,-4.6447610011561355,0.7566018384503859
10,Ko_1,,,,,,,,,,,,,,
11,NGC_4147,182.52626,18.542639,18.54,179.35,-1.69,-2.092,252.32936574685164,77.44911061547728,-39.917633518871526,-17.302311962041784,131.41540429154202,-9.400940993842344,-3.838772287887061,18.117756723364575
12,NGC_4833,194.891342,-70.876503,6.48,201.99,-8.39,-0.968,303.6431730756635,-7.751549653322569,-94.8578096656397,-60.23186487856864,-40.760748040683,-4.620761742784276,-5.34533128454802,-0.8532076886578659
13,NGC_5139,201.696991,-47.479473,5.43,232.78,-3.236,-6.731,309.19706972361746,15.219309479785155,96.27534562145672,-27.08777231526139,-85.49565701791961,-4.86665254873656,-4.060537088007584,1.4462531258256102
14,NGC_5286,206.61171,-51.374249,11.1,62.38,0.187,-0.16,311.6995284390324,10.812176767165093,58.95328130402224,205.26610330111333,8.7746962710843,-0.9250962320907163,-8.140615625999057,2.1030497840526428
15,AM_4,209.089066,-27.165171,29.01,151.19,-0.538,-2.485,320.46612705952197,33.72771312355119,127.38931428542841,-74.00881140225547,-161.14543298208625,10.430065113430864,-15.357790639396638,16.128508695242108
16,NGC_5634,217.405335,-5.97643,25.96,-16.07,-1.69,-1.489,342.56712943122113,49.39052098779759,-58.74336824021511,-19.443968838241034,-25.302009392440034,7.943240212027643,-5.062249319661631,19.72868790945616
17,NGC_5897,229.351659,-21.010122,12.55,101.31,-5.415,-3.392,343.15452860920885,30.421538945359057,-34.23657652098432,-133.94919440366917,93.07028035738442,2.1797775454574726,-3.1361690677429865,6.3755925141068985
18,NGC_5904,229.638412,2.081028,7.48,53.5,4.073,-9.872,4.2223468550425896,46.82178908291796,301.7705864997941,84.02044596471379,-180.1139368410946,-3.073553633239208,0.3768487711993833,5.475432186729741
19,NGC_6101,246.450485,-72.202194,14.45,366.33,1.76,-0.252,317.7509531532439,-15.598407626644748,297.3321609938601,78.23896239417928,-189.01604935793986,2.1243687700442546,-9.357700128889098,-3.864704603498203
20,NGC_6205,250.421814,36.459862,7.42,-244.9,-3.138,-2.572,59.22398972525653,40.69058885588789,-30.03392438871554,-20.37227752051055,-76.4401825770339,-5.299192964816099,4.833844257682014,4.858446095638898
21,NGC_6229,251.745249,47.527796,30.11,-137.89,-1.156,-0.461,73.79933830745222,40.04419735439956,7.708390781815599,25.97899581048256,46.94209589338059,-1.7468147921102455,22.135330508343277,19.392921724484065
22,NGC_6235,253.355676,-22.177447,11.94,126.68,-3.942,-7.602,359.0424423846702,13.568960312954145,144.97668704561946,-233.07013014692777,-40.681650039009696,3.4271127511594273,-0.1939688911446428,2.8221093549526035
23,Pal_15,254.9626,-0.539,44.1,72.27,-0.601,-0.855,19.033567036787623,24.287163094987974,136.78368614405537,60.45547908611488,54.69308548220896,29.8212888513434,13.109110975601805,18.159577693701554
24,NGC_6284,256.120114,-24.764799,14.21,28.62,-3.205,-2.004,358.4531438096773,9.992700101706522,16.31081536046994,11.10257581760439,106.43502183980948,5.8113326347900784,-0.3777720630406693,2.486557632368452
25,NGC_6341,259.280762,43.135944,8.5,-120.55,-4.934,-0.63,68.49675974850499,34.60940649703129,-22.82231210538807,34.97404834537747,99.28288414275822,-5.613638196712592,6.5089321968089235,4.84862043982424
26,IC_1257,261.785431,-7.093056,26.59,-137.97,-1.029,-1.49,16.66135990392921,15.10697885650617,-55.50560804196248,-10.220758185749759,-12.25391546904877,16.415300857021187,7.3602690123336005,6.950741776243337
27,Liller_1,263.352333,-33.389556,8.06,60.36,-5.183,-6.979,354.895526823974,-0.0894885709512025,41.77252464665578,-88.13712315885275,29.779290688164483,-0.14997476660520093,-0.7171139221878724,0.008211331257830924
28,Djorg_1,,,,,,,,,,,,,,
29,UKS_1,268.613312,-24.145277,15.58,59.38,-0.96,-2.941,5.185140341134898,0.7837641905723066,91.07685556975379,30.149712138807303,-39.48741490720799,7.336792930067906,1.4078997742571497,0.23391631275331376
30,Terzan_10,,,,,,,,,,,,,,
31,2MS-GC01,,,,,,,,,,,,,,
32,ESO-SC06,,,,,,,,,,,,,,
33,2MS-GC02,,,,,,,,,,,,,,
34,GLIMPSE_2,,,,,,,,,,,,,,
35,GLIMPSE_1,,,,,,,,,,,,,,
36,NGC_6779,289.148193,30.183472,10.43,-136.97,-2.003,1.617,62.740093551819065,8.102844911691843,-83.47829815596694,123.78091657195876,110.9753408279322,-3.448464619623971,9.179061179657413,1.4909125623154247
37,NGC_6864,301.519784,-21.921164,20.52,-189.08,-0.614,-2.796,20.22252762326378,-25.803551105263548,-68.89190267505829,-76.11605760553326,55.16378894951996,9.157199034377694,6.385851023847593,-8.911287165927975
38,NGC_7089,323.362579,-0.82325,11.69,-3.78,3.445,-2.177,53.276505800908964,-35.97216851686995,-72.99890206721733,140.7442460056095,-173.27188943384994,-2.520910807809334,7.5830760559275685,-6.84581484296429
39,NGC_7099,325.092133,-23.179861,8.46,-185.19,-0.732,-7.307,26.94039281303681,-46.92507019294817,-1.531253043928773,-84.99527910892559,109.48791220531281,-3.0272229097041317,2.617705846729158,-6.158901567720177
40,NGC_7492,347.11117,-15.611469,24.39,-176.7,0.777,-2.321,53.023222234028005,-63.67962758344381,1.560439710702397,-79.78949427755893,72.28910269727987,-1.6733047170643065,8.63930528596911,-21.84066023146625
41,NGC_6584,274.656647,-52.215778,13.61,260.64,-0.08,-7.195,342.12348099620016,-16.28253985592667,70.23573584495088,-222.71052916350058,-235.7342533989068,4.255381799762066,-4.010246611700241,-3.795092966881029
42,NGC_6981,313.365417,-12.537306,16.66,-331.39,-1.261,-3.369,35.05057153994608,-32.81045225291936,-61.80015730499479,-150.22238344795792,172.15582028240564,3.284831791631065,8.04144865145819,-9.006613300759716
